category,product,price,rating,rating_score,answered_questions,favorite,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,image_name
laptop,"Huawei Matebook D15 Intel Core I7 1195g7 16gb 512gb Ssd Windows 11 Home 15.6"" Fhd BoDE-WFE9AL",22.399 TL,62,4.8,270,6414 Favori,İşlemci Tipi | Intel Core i7,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Windows,Ekran Kartı | Intel Iris Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_0.png
laptop,"Huawei Matebook D14 Intel Core i5-1155G7 8GB 512GB SSD 14"" W11 Dizüstü Bilgisayar (Huawei Türkiye Garanti) MBOOKD14I5",16.499 TL,198,4.7,342,16859 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Windows,Ekran Kartı | Intel Iris Graphics,Ekran Boyutu | 14 inç,Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_1.png
laptop,"Monster Huma H5 V4.1.10 Black Intel Core I5 1235u 32 Gb Ram 1 Tb Ssd Freedos 15,6"" Fhd 120 Hz HUMA H5 V4.1.10 Black",19.399 TL,9,4.9,40,1356 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 32 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel Iris Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_2.png
laptop,"Everest Everbook Eb-15r03 I5-1135g7 16gb 500ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar T21677C","12.869,01 TL",,,17,172 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 500 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel Iris Graphics,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_3.png
laptop,"LENOVO Nb V15 G3 i5-1235U 16GB 512GB SSD 15.6"" FHD Freedos Taşınabilir Bilgisayar 82TT00A6TX003","15.099,99 TL",7,5.0,36,1167 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Dahili Ekran Kartı,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_4.png
laptop,"ACER Extensa Ex215-54 Corei5 1135g7 8gb 512gb Ssd Freedos 15.6"" Fhd Notebook Nx.egjey.005 NX.EGJEY.005",12.399 TL,32,4.8,49,1659 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Dahili Ekran Kartı,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_5.png
laptop,"ACER Aspire 3 AMD Ryzen 3-7320U 8GB 256GB SSD DOS 15.6"" FHD Dizüstü Bilgisayar (ACER Türkiye Garantili) NX.KDEEY.006",8.499 TL,3,5.0,9,784 Favori,İşlemci Tipi | AMD Ryzen 3,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Free Dos,Ekran Kartı | AMD Radeon Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ev - Okul,laptop_image_6.png
laptop,"Everest Everbook Eb-21r07 I5-1135g7 16gb 256ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar T16940G",13.899 TL,4,5.0,18,301 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel Iris Graphics,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_7.png
laptop,"Monster Abra A5 V20.3.2 Intel Core I7 13700h 32 Gb Ram 1 Tb Ssd 6 Gb Rtx 4050 Freedos 15,6"" Fhd 144 Hz",36.299 TL,23,4.9,42,1673 Favori,İşlemci Tipi | Intel Core i7,Ram (Sistem Belleği) | 32 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 4050,"Ekran Boyutu | 15,6 inç",laptop_image_8.png
laptop,Casper Nirvana C550.1235-bv00x-g-f Intel Core I5-1235u 16gb Ram 500gb Nvme Ssd Gen4 Freedos C550.1235-BV00X-G-F,15.089 TL,12,4.8,3,414 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 500 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel Iris Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_9.png
laptop,LENOVO V15-ABA GEN3 Amd Ryzen 7-5825U 16GB 512GB SSD 15.6 Inç Full Hd FDOS 82TV004LTXF06+Zetta Çanta 82TV004LTXF06WBGN,14.699 TL,11,4.0,54,1432 Favori,İşlemci Tipi | AMD Ryzen 7,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | AMD Radeon Graphics,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_10.png
laptop,"Dell Latitude 5420 5fx0h542014emea_u01 I5-1145g7 16gb 512ssd 14"" Fullhd W11p Taşınabilir Bilgisayar T22529A",25.799 TL,,,,,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Windows,Ekran Kartı | Intel Iris Graphics,Garanti Tipi | Resmi Distribütör Garantili,Ekran Boyutu | 14 inç,Çözünürlük | 1920 x 1080,laptop_image_11.png
laptop,HP Victus 15-FA1035NT 7N9V4EA i5-13500H 16GB 512GB RTX4050 6GB 15.6 144Hz FHD Freedos Gaming Laptop,29.699 TL,5,4.2,14,638 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 4050,"Ekran Boyutu | 15,6 inç",laptop_image_12.png
